timestamp,window,sample,ir_raw,red_raw,true_hr
2026-04-18T19:46:15.190,1,95,164956,136212,83.0
2026-04-18T19:46:15.230,1,96,162964,132672,83.0
2026-04-18T19:46:15.270,1,97,162964,132672,83.0
2026-04-18T19:46:15.310,1,98,162964,132672,83.0
2026-04-18T19:46:15.350,1,99,162964,132672,83.0
2026-04-18T19:46:15.390,1,100,161705,130403,83.0
2026-04-18T19:46:15.429,1,101,161705,130403,83.0
2026-04-18T19:46:15.470,1,102,161705,130403,83.0
2026-04-18T19:46:15.510,1,103,161705,130403,83.0
2026-04-18T19:46:15.549,1,104,161039,129228,83.0
2026-04-18T19:46:15.590,1,105,161039,129228,83.0
2026-04-18T19:46:15.629,1,106,161039,129228,83.0
2026-04-18T19:46:15.669,1,107,161039,129228,83.0
2026-04-18T19:46:15.709,1,108,161061,129323,83.0
2026-04-18T19:46:15.749,1,109,161061,129323,83.0
2026-04-18T19:46:15.790,1,110,161061,129323,83.0
2026-04-18T19:46:15.829,1,111,161061,129323,83.0
2026-04-18T19:46:15.869,1,112,161775,130900,83.0
2026-04-18T19:46:15.909,1,113,161775,130900,83.0
2026-04-18T19:46:15.949,1,114,161775,130900,83.0
2026-04-18T19:46:15.989,1,115,161775,130900,83.0
2026-04-18T19:46:16.030,1,116,162967,133201,83.0
2026-04-18T19:46:16.069,1,117,162967,133201,83.0
2026-04-18T19:46:16.109,1,118,162967,133201,83.0
2026-04-18T19:46:16.148,1,119,162967,133201,83.0
2026-04-18T19:46:16.189,1,120,162801,132899,83.0
2026-04-18T19:46:16.229,1,121,162801,132899,83.0
2026-04-18T19:46:16.269,1,122,162801,132899,83.0
2026-04-18T19:46:16.309,1,123,162801,132899,83.0
2026-04-18T19:46:16.349,1,124,162394,131993,83.0
2026-04-18T19:46:16.389,1,125,162394,131993,83.0
2026-04-18T19:46:16.428,1,126,162394,131993,83.0
2026-04-18T19:46:16.468,1,127,162394,131993,83.0
2026-04-18T19:46:16.509,1,128,162947,132766,83.0
2026-04-18T19:46:16.549,1,129,162947,132766,83.0
2026-04-18T19:46:16.588,1,130,162947,132766,83.0
2026-04-18T19:46:16.628,1,131,162947,132766,83.0
2026-04-18T19:46:16.668,1,132,162305,131551,83.0
2026-04-18T19:46:16.708,1,133,162305,131551,83.0
2026-04-18T19:46:16.748,1,134,162305,131551,83.0
2026-04-18T19:46:16.788,1,135,162305,131551,83.0
2026-04-18T19:46:16.828,1,136,161531,130125,83.0
2026-04-18T19:46:16.868,1,137,161531,130125,83.0
2026-04-18T19:46:16.908,1,138,161531,130125,83.0
2026-04-18T19:46:16.947,1,139,161531,130125,83.0
2026-04-18T19:46:16.988,1,140,160944,129057,83.0
2026-04-18T19:46:17.028,1,141,160944,129057,83.0
2026-04-18T19:46:17.068,1,142,160944,129057,83.0
2026-04-18T19:46:17.107,1,143,160944,129057,83.0
2026-04-18T19:46:17.147,1,144,161600,130072,83.0
2026-04-18T19:46:17.187,1,145,161600,130072,83.0
