timestamp,window,sample,ir_raw,red_raw,true_hr
2026-04-18T20:06:48.764,1,95,174705,149737,84.0
2026-04-18T20:06:48.804,1,96,174705,149737,84.0
2026-04-18T20:06:48.844,1,97,174705,149737,84.0
2026-04-18T20:06:48.884,1,98,174549,149307,84.0
2026-04-18T20:06:48.923,1,99,174549,149307,84.0
2026-04-18T20:06:48.964,1,100,174549,149307,84.0
2026-04-18T20:06:49.004,1,101,174549,149307,84.0
2026-04-18T20:06:49.043,1,102,174569,149130,84.0
2026-04-18T20:06:49.083,1,103,174569,149130,84.0
2026-04-18T20:06:49.123,1,104,174569,149130,84.0
2026-04-18T20:06:49.163,1,105,174569,149130,84.0
2026-04-18T20:06:49.203,1,106,174618,149348,84.0
2026-04-18T20:06:49.243,1,107,174618,149348,84.0
2026-04-18T20:06:49.283,1,108,174618,149348,84.0
2026-04-18T20:06:49.323,1,109,174618,149348,84.0
2026-04-18T20:06:49.363,1,110,173619,146458,84.0
2026-04-18T20:06:49.403,1,111,173619,146458,84.0
2026-04-18T20:06:49.443,1,112,173619,146458,84.0
2026-04-18T20:06:49.484,1,113,173619,146458,84.0
2026-04-18T20:06:49.523,1,114,173319,145433,84.0
2026-04-18T20:06:49.563,1,115,173319,145433,84.0
2026-04-18T20:06:49.604,1,116,173319,145433,84.0
2026-04-18T20:06:49.643,1,117,173319,145433,84.0
2026-04-18T20:06:49.683,1,118,172800,143774,84.0
2026-04-18T20:06:49.723,1,119,172800,143774,84.0
2026-04-18T20:06:49.762,1,120,172800,143774,84.0
2026-04-18T20:06:49.803,1,121,172800,143774,84.0
2026-04-18T20:06:49.843,1,122,172748,144033,84.0
2026-04-18T20:06:49.883,1,123,172748,144033,84.0
2026-04-18T20:06:49.923,1,124,172748,144033,84.0
2026-04-18T20:06:49.962,1,125,172748,144033,84.0
2026-04-18T20:06:50.003,1,126,172088,143153,84.0
2026-04-18T20:06:50.042,1,127,172088,143153,84.0
2026-04-18T20:06:50.082,1,128,172088,143153,84.0
2026-04-18T20:06:50.122,1,129,172088,143153,84.0
2026-04-18T20:06:50.162,1,130,171179,141565,84.0
2026-04-18T20:06:50.203,1,131,171179,141565,84.0
2026-04-18T20:06:50.242,1,132,171179,141565,84.0
2026-04-18T20:06:50.283,1,133,171179,141565,84.0
2026-04-18T20:06:50.322,1,134,171259,141531,84.0
2026-04-18T20:06:50.362,1,135,171259,141531,84.0
2026-04-18T20:06:50.402,1,136,171259,141531,84.0
2026-04-18T20:06:50.442,1,137,171259,141531,84.0
2026-04-18T20:06:50.482,1,138,172097,143134,84.0
2026-04-18T20:06:50.523,1,139,172097,143134,84.0
2026-04-18T20:06:50.562,1,140,172097,143134,84.0
2026-04-18T20:06:50.602,1,141,172097,143134,84.0
2026-04-18T20:06:50.643,1,142,172598,144014,84.0
2026-04-18T20:06:50.681,1,143,172598,144014,84.0
2026-04-18T20:06:50.722,1,144,172598,144014,84.0
2026-04-18T20:06:50.762,1,145,172598,144014,84.0
2026-04-18T20:06:50.802,1,146,173116,144884,84.0
2026-04-18T20:06:50.841,1,147,173116,144884,84.0
2026-04-18T20:06:50.882,1,148,173116,144884,84.0
2026-04-18T20:06:50.922,1,149,173116,144884,84.0
2026-04-18T20:06:50.962,1,150,173672,145935,84.0
2026-04-18T20:06:51.002,1,151,173672,145935,84.0
2026-04-18T20:06:51.042,1,152,173672,145935,84.0
2026-04-18T20:06:51.082,1,153,173672,145935,84.0
2026-04-18T20:06:51.122,1,154,174453,148052,84.0
2026-04-18T20:06:51.162,1,155,174453,148052,84.0
2026-04-18T20:06:51.202,1,156,174453,148052,84.0
2026-04-18T20:06:51.242,1,157,174453,148052,84.0
2026-04-18T20:06:51.282,1,158,174778,148886,84.0
2026-04-18T20:06:51.322,1,159,174778,148886,84.0
2026-04-18T20:06:51.361,1,160,174778,148886,84.0
2026-04-18T20:06:51.401,1,161,174778,148886,84.0
2026-04-18T20:06:51.441,1,162,174779,148910,84.0
2026-04-18T20:06:51.481,1,163,174779,148910,84.0
2026-04-18T20:06:51.521,1,164,174779,148910,84.0
2026-04-18T20:06:51.561,1,165,174779,148910,84.0
2026-04-18T20:06:51.602,1,166,174859,148924,84.0
2026-04-18T20:06:51.642,1,167,174859,148924,84.0
2026-04-18T20:06:51.681,1,168,174859,148924,84.0
2026-04-18T20:06:51.721,1,169,174859,148924,84.0
2026-04-18T20:06:51.761,1,170,175046,149679,84.0
2026-04-18T20:06:51.801,1,171,175046,149679,84.0
2026-04-18T20:06:51.841,1,172,175046,149679,84.0
2026-04-18T20:06:51.880,1,173,175046,149679,84.0
2026-04-18T20:06:51.921,1,174,175003,149661,84.0
2026-04-18T20:06:51.961,1,175,175003,149661,84.0
2026-04-18T20:06:52.001,1,176,175003,149661,84.0
2026-04-18T20:06:52.041,1,177,175003,149661,84.0
2026-04-18T20:06:52.081,1,178,174836,149052,84.0
2026-04-18T20:06:52.121,1,179,174836,149052,84.0
2026-04-18T20:06:52.161,1,180,174836,149052,84.0
2026-04-18T20:06:52.201,1,181,174836,149052,84.0
2026-04-18T20:06:52.240,1,182,174440,147707,84.0
2026-04-18T20:06:52.280,1,183,174440,147707,84.0
2026-04-18T20:06:52.320,1,184,174440,147707,84.0
2026-04-18T20:06:52.360,1,185,174440,147707,84.0
2026-04-18T20:06:52.401,1,186,174313,147463,84.0
2026-04-18T20:06:52.440,1,187,174313,147463,84.0
2026-04-18T20:06:52.480,1,188,174313,147463,84.0
2026-04-18T20:06:52.520,1,189,174313,147463,84.0
2026-04-18T20:06:52.560,1,190,173788,146563,84.0
2026-04-18T20:06:52.600,1,191,173788,146563,84.0
2026-04-18T20:06:52.641,1,192,173788,146563,84.0
2026-04-18T20:06:52.680,1,193,173788,146563,84.0
